description;wnid
strike;n00187710
ten-strike;n00187710
spare;n00187890
open frame;n00188007
break;n00188007
audible;n00188183
football score;n00188341
touchback;n00188449
safety;n00188620
touchdown;n00188766
field goal;n00188934
conversion;n00189106
point after;n00189257
point after touchdown;n00189257
extra point;n00189257
baseball score;n00189476
run;n00189565
tally;n00189565
earned run;n00189896
unearned run;n00190040
run batted in;n00190180
rbi;n00190180
basketball score;n00190338
basket;n00190431
field goal;n00190431
hat trick;n00190579
solution;n00190783
russian roulette;n00190931
change;n00191142
filtration;n00191980
percolation;n00192149
reduction;n00192300
simplification;n00192300
schematization;n00192457
schematisation;n00192457
economy;n00192613
saving;n00192613
retrenchment;n00192910
curtailment;n00192910
downsizing;n00192910
economy of scale;n00193099
accommodation;n00193225
adaptation;n00193406
dark adaptation;n00193622
light adaptation;n00193811
take-up;n00194005
readjustment;n00194127
domestication;n00194257
decimalization;n00194414
decimalisation;n00194414
metrification;n00194645
metrication;n00194645
habituation;n00194831
variation;n00194969
variance;n00194969
variation;n00195194
turning;n00195415
diversification;n00195569
variegation;n00195569
flux;n00195938
switch;n00196084
switching;n00196084
shift;n00196084
switcheroo;n00196402
substitution;n00196485
exchange;n00196485
commutation;n00196485
novation;n00196848
pitching change;n00197136
superannuation;n00197229
supersedure;n00197419
supersession;n00197419
supplanting;n00197610
displacement;n00197610
replacement;n00197772
replacing;n00197772
subrogation;n00198118
weaning;n00198270
ablactation;n00198270
promotion;n00198451
preferment;n00198631
demotion;n00198793
investment;n00198919
investiture;n00198919
change of state;n00199130
alteration;n00199707
modification;n00199707
adjustment;n00199707
distraction;n00200041
misdirection;n00200041
aeration;n00200244
modulation;n00200379
qualification;n00200563
reorganization;n00200768
passage;n00201058
transition;n00201058
fossilization;n00201269
fossilisation;n00201269
segue;n00201397
meddling;n00201516
tampering;n00201516
transfer;n00201671
transference;n00201671
prohibition;n00201923
inhibition;n00201923
forbiddance;n00201923
resistance;n00202284
opposition;n00202284
lockout;n00202620
reaction;n00202816
backlash;n00203020
whitelash;n00203208
white backlash;n00203208
rejection;n00203342
brush-off;n00203649
avoidance;n00203753
turning away;n00203753
shunning;n00203753
dodging;n00203753
aversion;n00204022
averting;n00204022
escape;n00204199
near thing;n00204334
abandonment;n00204439
forsaking;n00204439
desertion;n00204439
exposure;n00204659
apostasy;n00204814
tergiversation;n00204814
bolt;n00204943
renunciation;n00205079
forgoing;n00205079
forswearing;n00205079
nonacceptance;n00205349
turndown;n00205349
forsaking;n00205543
giving up;n00205543
abnegation;n00205649
self-abnegation;n00205649
denial;n00205649
self-denial;n00205649
self-renunciation;n00205649
forfeit;n00205891
forfeiture;n00205891
sacrifice;n00205891
boycott;n00206130
banishment;n00206302
proscription;n00206302
anathematization;n00206600
anathematisation;n00206600
disbarment;n00206779
ejection;n00206927
exclusion;n00206927
expulsion;n00206927
riddance;n00206927
deportation;n00207306
ostracism;n00207434
barring;n00207622
blackball;n00207622
exile;n00207761
deportation;n00207761
expatriation;n00207761
transportation;n00207761
babylonian captivity;n00208141
excommunication;n00208277
excision;n00208277
relegation;n00208521
rustication;n00208694
ouster;n00208797
ousting;n00208797
deposition;n00208943
dethronement;n00208943
suspension;n00209132
temporary removal;n00209132
rustication;n00209301
displacement;n00209446
veto;n00209546
pocket veto;n00209680
write-in;n00209789
termination;n00209943
ending;n00209943
conclusion;n00209943
finish;n00210518
finishing;n00210518
finale;n00210797
close;n00210797
closing curtain;n00210797
finis;n00210797
release;n00210940
tone ending;n00210940
completion;n00211110
culmination;n00211110
closing;n00211110
windup;n00211110
mop up;n00211110
finalization;n00211462
finalisation;n00211462
follow-through;n00211593
follow-through;n00211776
graduation;n00212065
retirement;n00212205
hibernation;n00212377
rustication;n00212551
swan song;n00212678
last hurrah;n00212678
relinquishment;n00212808
relinquishing;n00212808
cession;n00213052
ceding;n00213052
handover;n00213186
surrender;n00213343
extradition;n00213482
release;n00213694
waiver;n00213694
discharge;n00213694
exemption;n00213903
immunity;n00213903
granting immunity;n00213903
fix;n00214148
official immunity;n00214315
sovereign immunity;n00214526
transactional immunity;n00214794
use immunity;n00215013
testimonial immunity;n00215013
dissolution;n00215314
breakup;n00215314
splitsville;n00215534
overthrow;n00215683
subversion;n00215838
subversive activity;n00215838
adjournment;n00216038
dissolution;n00216038
dismissal;n00216174
dismission;n00216174
discharge;n00216174
firing;n00216174
liberation;n00216174
release;n00216174
sack;n00216174
sacking;n00216174
conge;n00216607
congee;n00216607
removal;n00216723
purge;n00216834
destruction;n00217014
devastation;n00217014
disaster;n00217499
kill;n00217593
laying waste;n00217773
ruin;n00217773
ruining;n00217773
ruination;n00217773
wrecking;n00217773
razing;n00218045
leveling;n00218045
tearing down;n00218045
demolishing;n00218045
annihilation;n00218208
obliteration;n00218208
decimation;n00218427
atomization;n00218602
atomisation;n00218602
pulverization;n00218753
pulverisation;n00218753
vaporization;n00218902
vaporisation;n00218902
killing;n00219012
kill;n00219012
putting to death;n00219012
deathblow;n00219463
coup de grace;n00219463
death;n00219575
drive-by killing;n00219738
euthanasia;n00219856
mercy killing;n00219856
homicide;n00220023
honor killing;n00220219
manslaughter;n00220409
murder;n00220522
slaying;n00220522
execution;n00220522
assassination;n00221056
bloodshed;n00221178
gore;n00221178
chance-medley;n00221343
contract killing;n00221480
parricide;n00221596
mariticide;n00221727
matricide;n00221819
patricide;n00221900
fratricide;n00221981
uxoricide;n00222064
filicide;n00222155
dispatch;n00222248
despatch;n00222248
fell;n00222376
suicide;n00222485
self-destruction;n00222485
self-annihilation;n00222485
self-destruction;n00222766
assisted suicide;n00222939
physician-assisted suicide;n00223144
felo-de-se;n00223268
harakiri;n00223362
hara-kiri;n00223362
harikari;n00223362
seppuku;n00223362
suttee;n00223575
elimination;n00223720
liquidation;n00223720
slaughter;n00223854
slaughter;n00223983
massacre;n00223983
mass murder;n00223983
carnage;n00223983
butchery;n00223983
bloodbath;n00224260
bloodletting;n00224260
bloodshed;n00224260
battue;n00224260
lynching;n00224599
poisoning;n00224738
gassing;n00224936
regicide;n00225070
shooting;n00225150
drive-by shooting;n00225361
wing shooting;n00225484
suffocation;n00225593
asphyxiation;n00225593
choking;n00225786
strangling;n00225786
strangulation;n00225786
throttling;n00225786
spasm;n00226107
squeeze;n00226319
bronchospasm;n00226511
cardiospasm;n00226711
heave;n00226951
retch;n00226951
laryngismus;n00227137
strangulation;n00227264
carjacking;n00227484
sacrifice;n00227595
ritual killing;n00227595
hecatomb;n00227848
immolation;n00227969
electrocution;n00228078
decapitation;n00228181
beheading;n00228181
abolition;n00228283
abolishment;n00228283
liquidation;n00228535
settlement;n00228535
viatical settlement;n00228762
viaticus settlement;n00228762
withdrawal;n00228911
drug withdrawal;n00228911
cold turkey;n00229034
closure;n00229260
closedown;n00229260
closing;n00229260
shutdown;n00229260
plant closing;n00229587
bank closing;n00229688
layoff;n00229814
extinction;n00229934
extinguishing;n00229934
quenching;n00229934
fade;n00230172
disappearance;n00230172
abortion;n00230324
spontaneous abortion;n00230475
miscarriage;n00230475
stillbirth;n00230475
habitual abortion;n00230703
imminent abortion;n00230824
threatened abortion;n00230824
incomplete abortion;n00230997
partial abortion;n00230997
induced abortion;n00231161
aborticide;n00231315
feticide;n00231315
therapeutic abortion;n00231412
nullification;n00231567
override;n00231567
abrogation;n00231887
repeal;n00231887
annulment;n00231887
derogation;n00232147
cancellation;n00232386
write-off;n00232604
attainder;n00232765
civil death;n00232765
recission;n00232863
rescission;n00232863
vitiation;n00233212
neutralization;n00233386
neutralisation;n00233386
counteraction;n00233386
deactivation;n00233614
defusing;n00233614
deactivation;n00233795
inactivation;n00233795
honorable discharge;n00233980
dishonorable discharge;n00234105
section eight;n00234277
neutralization;n00234423
neutralisation;n00234423
neutralization;n00234675
neutralisation;n00234675
reversal;n00234892
undoing;n00235074
regression;n00235208
regress;n00235208
reversion;n00235208
retrogression;n00235208
retroversion;n00235208
beginning;n00235435
start;n00235435
commencement;n00235435
springboard;n00236194
jumping-off point;n00236194
point of departure;n00236194
accession;n00236581
rise to power;n00236581
activation;n00236821
attack;n00236953
tone-beginning;n00236953
constitution;n00237078
establishment;n00237078
formation;n00237078
organization;n00237078
organisation;n00237078
re-establishment;n00237705
creation;n00237869
introduction;n00238022
debut;n00238022
first appearance;n00238022
launching;n00238022
unveiling;n00238022
entry;n00238022
induction of labor;n00238326
induction;n00238527
hypnogenesis;n00238778
product introduction;n00238871
face-off;n00239024
first step;n00239230
initiative;n00239230
opening move;n00239230
opening;n00239230
groundbreaking;n00239483
groundbreaking ceremony;n00239483
housing start;n00239666
icebreaker;n00239766
inauguration;n00239910
startup;n00239910
initiation;n00240184
founding;n00240184
foundation;n00240184
institution;n00240184
origination;n00240184
creation;n00240184
innovation;n00240184
introduction;n00240184
instauration;n00240184
authorship;n00240754
paternity;n00240754
installation;n00240938
installing;n00240938
installment;n00240938
instalment;n00240938
jump ball;n00241245
kickoff;n00241507
start;n00241699
starting;n00241699
resumption;n00242003
recommencement;n00242003
scrum;n00242146
scrummage;n00242146
startup;n00242431
unionization;n00242583
unionisation;n00242583
arousal;n00242808
rousing;n00242808
reveille;n00243102
ushering in;n00243237
inauguration;n00243373
inaugural;n00243373
curtain raiser;n00243577
first base;n00243662
peace initiative;n00243813
cooking;n00243918
cookery;n00243918
preparation;n00243918
baking;n00246341
shirring;n00246460
toasting;n00246552
browning;n00246552
broil;n00246754
broiling;n00246754
grilling;n00246754
frying;n00246940
sauteing;n00246940
fusion cooking;n00247081
braising;n00247229
poaching;n00247342
roasting;n00247442
barbecuing;n00247654
boiling;n00247792
stewing;n00247792
simmering;n00247792
basting;n00247955
tenderization;n00248063
tenderisation;n00248063
percolation;n00248252
seasoning;n00248368
salting;n00248534
sweetening;n00248636
infusion;n00248748
improvement;n00248977
advancement;n00249501
progress;n00249501
forwarding;n00249780
furtherance;n00249780
promotion;n00249780
stride;n00249987
work flow;n00250143
workflow;n00250143
development;n00250259
broadening;n00250597
elaboration;n00250710
working out;n00250710
product development;n00250882
cleaning;n00251013
cleansing;n00251013
cleanup;n00251013
disinfestation;n00251520
spring-cleaning;n00251636
scrub;n00251780
scrubbing;n00251780
scouring;n00251780
swabbing;n00252020
mopping;n00252020
dry cleaning;n00252169
sweeping;n00252307
purge;n00252430
purging;n00252430
purge;n00252662
purging;n00252662
purgation;n00252662
purification;n00252894
purification;n00253070
purgation;n00253070
purification;n00253270
catharsis;n00253395
katharsis;n00253395
abreaction;n00253395
catharsis;n00253577
katharsis;n00253577
purgation;n00253577
high colonic;n00253773
sterilization;n00253919
sterilisation;n00253919
pasteurization;n00254166
pasteurisation;n00254166
sanitation;n00254415
sanitization;n00254415
sanitisation;n00254415
depilation;n00254597
epilation;n00254597
shave;n00254769
shaving;n00254769
tonsure;n00254922
electrolysis;n00255065
washup;n00255214
bathing;n00255214
ablution;n00255450
dishwashing;n00255600
washup;n00255600
wash;n00255710
washing;n00255710
lavation;n00255710
washing-up;n00256122
window-washing;n00256217
rinse;n00256309
rinse;n00256407
soak;n00256501
soaking;n00256501
brush;n00256620
brushing;n00256620
comb;n00256746
combing;n00256746
comb-out;n00256961
teasing;n00256961
shampoo;n00257115
hair care;n00257228
haircare;n00257228
hairdressing;n00257228
hairweaving;n00257468
shower;n00257580
shower bath;n00257580
bath;n00257770
bubble bath;n00257969
mikvah;n00258093
mud bath;n00258301
sponge bath;n00258403
turkish bath;n00258530
steam bath;n00258530
vapor bath;n00258530
vapour bath;n00258530
rubdown;n00258695
correction;n00258854
rectification;n00258854
redress;n00259177
remedy;n00259177
remediation;n00259177
salve;n00259392
retribution;n00259544
recompense;n00259643
compensation;n00259643
indemnification;n00259894
optimization;n00260051
optimisation;n00260051
perfection;n00260494
reform;n00260622
land reform;n00260881
amelioration;n00261029
melioration;n00261029
betterment;n00261029
self-improvement;n00261258
self-reformation;n00261258
reform;n00261405
beautification;n00261604
beauty treatment;n00261797
glamorization;n00261972
glamorisation;n00261972
glamourization;n00261972
glamourisation;n00261972
decoration;n00262249
adornment;n00262596
ornamentation;n00262743
embellishment;n00262743
window dressing;n00262908
trimming;n00263000
tessellation;n00263164
figuration;n00263272
tattoo;n00263353
titivation;n00263492
tittivation;n00263492
marking;n00263642
lineation;n00263813
mottling;n00263947
striping;n00264088
clearing;n00264192
clarification;n00264192
enrichment;n00264366
fortification;n00264529
humanization;n00264775
humanisation;n00264775
modernization;n00264913
modernisation;n00264913
renovation;n00265119
redevelopment;n00265119
overhaul;n00265119
face lift;n00265472
facelift;n00265472
face lifting;n00265472
moralization;n00265773
moralisation;n00265773
enhancement;n00265992
sweetening;n00265992
upturn;n00266149
worsening;n00266253
downturn;n00266401
downswing;n00266401
downspin;n00266560
ventilation;n00266645
airing;n00266645
repair;n00266806
fix;n00266806
fixing;n00266806
fixture;n00266806
mend;n00266806
mending;n00266806
reparation;n00266806
darning;n00267217
patching;n00267349
care;n00267522
maintenance;n00267522
upkeep;n00267522
camera care;n00267821
car care;n00267917
oil change;n00268025
overhaul;n00268112
